symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000013725.14|CD6	0	0	0	2	1	4
ENSG00000013810.18|TACC3	4181	4612.99	4288	653	812	748
ENSG00000014123.9|UFL1	812	822	775	929	1157	1001
ENSG00000014138.8|POLA2	1512	1786	1491	318	330	317
ENSG00000014164.6|ZC3H3	787	838	888	777	1156	936
ENSG00000014216.15|CAPN1	1998	2146	2155	3657	5215	4279
ENSG00000014257.15|ACPP	54	60	49	116	144	120
ENSG00000014641.17|MDH1	3117	3425	2959	1652	2279	1872
ENSG00000014824.13|SLC30A9	868	945	813	1145	1435	1287
ENSG00000014914.20|MTMR11	123	152	121	177	259	209
ENSG00000014919.12|COX15	1204	1442	1173	1094	1452	1284
ENSG00000015133.18|CCDC88C	988	1114	1114	1038	1411.24	1138
ENSG00000015153.14|YAF2	193.31	197	149	157	166	191
ENSG00000015171.19|ZMYND11	1412	1497	1266	1204	1439	1321.95
ENSG00000015285.10|WAS	7	4	10	41	43	36
ENSG00000015413.9|DPEP1	2	8	2	17	16	10
ENSG00000015475.18|BID	730	786	717	741	961	824
ENSG00000015479.18|MATR3	11029.23	13053.02	11279.79	7805.68	8964.09	8129.04
ENSG00000015520.14|NPC1L1	2	4	3	7	5	5
ENSG00000015532.9|XYLT2	1305	1414	1445	1477	2212	1816
ENSG00000015568.12|RGPD5	180.97	345.7	445.54	1034.31	1936.66	1451.67
ENSG00000015592.16|STMN4	3	4	3	0	6	1
ENSG00000015676.17|NUDCD3	1940	1943	1783	1860	2480	2127
ENSG00000016082.14|ISL1	24	16	9	2	5	2
ENSG00000016391.10|CHDH	49	72	53	15	19	13
ENSG00000016402.13|IL20RA	4	9	5	3	14	3
ENSG00000016490.15|CLCA1	0	0	0	0	0	0
ENSG00000016602.9|CLCA4	0	0	0	0	0	1
ENSG00000016864.18|GLT8D1	637	783	600	1059	1356.05	1177
ENSG00000017260.19|ATP2C1	1281	1642	1333	1559	1909	1823
ENSG00000017427.16|IGF1	242	292	260	718	903	757
ENSG00000017483.14|SLC38A5	1647	1760	1722	261	400	352
ENSG00000017797.12|RALBP1	2160	2447	2124	1857	2338	2021
ENSG00000018189.12|RUFY3	637	725	599	962	1061	1086
ENSG00000018236.14|CNTN1	1	0	0	0	0	1
ENSG00000018280.16|SLC11A1	0	0	3	3	3	4
ENSG00000018408.14|WWTR1	1858	2079	1821.72	2469	2965	2565
ENSG00000018510.14|AGPS	1346	1604	1299	1262	1391	1369
ENSG00000018607.6|AC097532.4	0	0	0	0	0	0
ENSG00000018610.14|CXorf56	668	796	663.96	541	668.96	680
ENSG00000018625.14|ATP1A2	3	4	1	34	54	36
ENSG00000018699.11|TTC27	539	577	462	341	391	416
ENSG00000018869.16|ZNF582	52	75	52	99	93	107
ENSG00000019102.11|VSIG2	0	0	0	0	0	0
ENSG00000019144.18|PHLDB1	1476	1570	1506.06	3708	5250	4372
ENSG00000019169.10|MARCO	1	0	0	1	3	0
ENSG00000019186.9|CYP24A1	0	3	1	1	3	8
ENSG00000019485.13|PRDM11	468	508	493	1048	1433	1169
